name,date,high,low,close,volume
LiteCoin,2019-03-03,49.18898641,47.99419305,48.75503686,880681451.3
LiteCoin,2019-03-04,49.18337617,45.73771227,46.3134502,886888924.8
LiteCoin,2019-03-05,53.8538338,46.03028298,52.69015002,1247005628.0
LiteCoin,2019-03-06,56.26568375,51.89533194,55.75680337,1925778606.0
LiteCoin,2019-03-07,58.68192974,54.74558762,57.07917271,1751854895.0
LiteCoin,2019-03-08,57.49592549,55.09337981,55.85865389,1673952235.0
LiteCoin,2019-03-09,59.00381033,55.80502109,57.65124682,1546052112.0
LiteCoin,2019-03-10,57.81983895,56.00629702,56.53849104,1348083785.0
LiteCoin,2019-03-11,57.02715068,54.50104328,55.07440255,1260846261.0
LiteCoin,2019-03-12,57.22233412,53.4311725,56.93177706,1286253263.0
LiteCoin,2019-03-13,57.12124549,55.40846733,55.85986806,1100506038.0
LiteCoin,2019-03-14,57.58063882,55.61708652,56.32684797,1148587004.0
LiteCoin,2019-03-15,59.1803025,56.28028652,58.61582845,1348990577.0
LiteCoin,2019-03-16,61.87597071,58.77614609,61.58310639,1577885814.0
LiteCoin,2019-03-17,61.72936263,60.41484634,60.99019664,1268736373.0
LiteCoin,2019-03-18,62.27406081,59.16825035,59.93517787,1341585191.0
LiteCoin,2019-03-19,60.3563779,59.23722708,59.9382178,1290018715.0
LiteCoin,2019-03-20,60.9778362,58.45927847,60.89382901,1391722302.0
LiteCoin,2019-03-21,61.12783275,58.83902876,59.37255171,1293998706.0
LiteCoin,2019-03-22,60.07189808,58.84896828,59.77821431,1248309593.0
LiteCoin,2019-03-23,61.7238635,59.60583042,61.45969741,1418481393.0
LiteCoin,2019-03-24,61.40583089,59.82449121,60.33732752,1587817676.0
LiteCoin,2019-03-25,61.04057847,59.1867082,59.63406898,1446375029.0
LiteCoin,2019-03-26,59.83754738,58.64093488,59.34696183,1313943112.0
LiteCoin,2019-03-27,62.16082396,59.35268762,62.13485199,1512918265.0
LiteCoin,2019-03-28,61.93735625,60.81279713,61.11479126,1695500912.0
LiteCoin,2019-03-29,61.99111227,60.63250759,61.91926093,1582687549.0
LiteCoin,2019-03-30,62.40729587,61.21421917,61.53618531,1476111227.0
LiteCoin,2019-03-31,62.33852781,61.17908637,62.21720538,1310475933.0
LiteCoin,2019-04-01,62.18876724,61.27966482,61.48945133,1400041219.0
LiteCoin,2019-04-02,78.39284858,61.1668124,77.15274457,2489546152.0
LiteCoin,2019-04-03,97.04710298,77.0765306,85.01124177,4873921247.0
LiteCoin,2019-04-04,88.64967599,81.69534416,85.33008679,5219507788.0
LiteCoin,2019-04-05,89.28974335,84.99437083,88.61901465,3488758211.0
LiteCoin,2019-04-06,96.84519763,86.16283872,92.95367139,2794683983.0
LiteCoin,2019-04-07,95.49227917,90.43665021,92.55997525,3563309046.0
LiteCoin,2019-04-08,94.01880357,87.30208887,89.67595586,3173684181.0
LiteCoin,2019-04-09,89.61009297,85.64303868,87.26670356,2992098118.0
LiteCoin,2019-04-10,90.79464919,87.46967959,88.63509893,2609886617.0
LiteCoin,2019-04-11,88.86186901,77.09457748,79.58453079,2912814192.0
LiteCoin,2019-04-12,80.92972638,76.87439128,79.07662181,2887120953.0
LiteCoin,2019-04-13,81.73348959,77.28798318,78.92268448,2255311223.0
LiteCoin,2019-04-14,83.55462503,77.62686995,83.55462503,1822083528.0
LiteCoin,2019-04-15,84.64928373,77.61255457,79.67755211,2324217350.0
LiteCoin,2019-04-16,82.90452638,78.59062776,82.29789999,2225542126.0
LiteCoin,2019-04-17,82.75333411,79.67890276,79.89122809,1819190349.0
LiteCoin,2019-04-18,83.63962119,79.81997874,82.44074139,1952332024.0
LiteCoin,2019-04-19,83.64106314,81.08575859,83.12291352,2093620199.0
LiteCoin,2019-04-20,83.39434381,80.99938531,82.33188327,2126904146.0
LiteCoin,2019-04-21,82.54223718,75.78078844,77.91417799,2331017111.0
LiteCoin,2019-04-22,78.25752826,76.41332103,77.41138982,2416878506.0
LiteCoin,2019-04-23,80.05934459,75.33386394,75.38273104,2521763053.0
LiteCoin,2019-04-24,75.7896496,71.91570482,73.74420376,2749704122.0
LiteCoin,2019-04-25,75.07887883,71.99903378,71.99903378,2576700202.0
LiteCoin,2019-04-26,74.50023339,70.60171385,73.30191035,2591623886.0
LiteCoin,2019-04-27,73.44825101,72.12042428,72.17194118,2066078989.0
LiteCoin,2019-04-28,72.47891692,68.963138,70.01700892,1704067035.0
LiteCoin,2019-04-29,70.59045513,67.20890702,67.94627438,1876206772.0
LiteCoin,2019-04-30,74.30254435,68.13327108,73.82877572,2266465110.0
LiteCoin,2019-05-01,74.81713974,72.01415297,73.58366342,2547456377.0
LiteCoin,2019-05-02,74.59730667,69.65778845,73.58117405,2211339276.0
LiteCoin,2019-05-03,79.90748091,73.43941812,78.75393033,2879561273.0
LiteCoin,2019-05-04,81.73926247,75.65003441,77.88393796,3240354091.0
LiteCoin,2019-05-05,77.88370215,75.5978461,75.92406409,2583423657.0
LiteCoin,2019-05-06,76.54639571,72.31632058,75.19556508,2178514235.0
LiteCoin,2019-05-07,78.2384534,74.73323796,74.73323796,2351423426.0
LiteCoin,2019-05-08,75.30397221,73.02936186,74.72324108,1786064150.0
LiteCoin,2019-05-09,75.89273753,73.41270639,74.69796501,1808524693.0
LiteCoin,2019-05-10,78.90118557,73.64932094,77.60015505,2196973531.0
LiteCoin,2019-05-11,95.28509634,77.53806976,88.92577251,3660309008.0
LiteCoin,2019-05-12,93.50539152,84.24666913,84.99707829,5458429118.0
LiteCoin,2019-05-13,91.59250499,84.88051428,88.14123454,4184856709.0
LiteCoin,2019-05-14,93.34215584,87.53454939,91.79531078,4612632699.0
LiteCoin,2019-05-15,102.8086166,91.02093174,101.8224591,4777841982.0
LiteCoin,2019-05-16,106.2251341,93.10220682,95.77551291,6446090270.0
LiteCoin,2019-05-17,97.09166898,85.30962837,89.63842928,5545490641.0
LiteCoin,2019-05-18,90.43736041,86.65636755,87.42187578,4233888240.0
LiteCoin,2019-05-19,96.57585822,87.01613513,95.46661171,3741692468.0
LiteCoin,2019-05-20,95.14314418,89.3104159,91.7200869,3644977847.0
LiteCoin,2019-05-21,92.61421247,90.02298993,91.47374639,3118787132.0
LiteCoin,2019-05-22,92.15265867,88.63191128,89.16229206,3039206237.0
LiteCoin,2019-05-23,90.39654919,86.01345532,89.55982286,3215885604.0
LiteCoin,2019-05-24,102.7188554,89.19594021,100.491023,3869070147.0
LiteCoin,2019-05-25,104.4863817,99.61900097,103.328683,5219797677.0
