name,month_year,market_cap
Bitcoin,2019-04,91493245926.66667
Ethereum,2019-04,17588991011.933334
Ripple,2019-04,13811832772.133333
LiteCoin,2019-04,4879408198.066667
Binance-Coin,2019-04,2917150942.233333
Bitcoin,2019-05,128548222333.83871
Ethereum,2019-05,23242473490.29032
Ripple,2019-05,15337636136.774193
LiteCoin,2019-05,5592804400.0
Binance-Coin,2019-05,3790254706.709677
Bitcoin,2019-06,167334800000.0
Ethereum,2019-06,29368493700.633335
Ripple,2019-06,18132088240.166668
LiteCoin,2019-06,7893260105.933333
Binance-Coin,2019-06,4794205280.666667
Bitcoin,2019-07,190252645161.2903
Ethereum,2019-07,26609378682.225807
Ripple,2019-07,14645824625.806452
LiteCoin,2019-07,6416523319.612904
Binance-Coin,2019-07,4380615084.032258
Bitcoin,2019-08,189893838709.67743
Ethereum,2019-08,21483404399.35484
Ripple,2019-08,12240926846.064516
LiteCoin,2019-08,5084181957.451612
Binance-Coin,2019-08,4256887596.677419
Bitcoin,2019-09,175630133333.33334
Ethereum,2019-09,19924794162.2
Ripple,2019-09,11268665087.466667
LiteCoin,2019-09,4237008888.3
Binance-Coin,2019-09,3132208066.0666666
Bitcoin,2019-10,150480967741.9355
Ethereum,2019-10,19264931032.935482
Ripple,2019-10,12061133300.0
LiteCoin,2019-10,3540002824.870968
Binance-Coin,2019-10,2736043742.0
Bitcoin,2019-11,150677300000.0
Ethereum,2019-11,18796482107.933334
Ripple,2019-11,11283271523.033333
LiteCoin,2019-11,3552056572.0333333
Binance-Coin,2019-11,2912142821.9666667
Bitcoin,2019-12,131041580645.16129
Ethereum,2019-12,14955769311.612904
Ripple,2019-12,8935716679.612904
LiteCoin,2019-12,2725511421.225806
Binance-Coin,2019-12,2216911111.645161
Bitcoin,2020-01,150645903225.80646
Ethereum,2020-01,16885089232.419355
Ripple,2020-01,9521760480.35484
Bitcoin-SV,2020-01,3935971235.032258
LiteCoin,2020-01,3361685313.032258
Bitcoin,2020-02,174395827586.2069
Ethereum,2020-02,25878430733.86207
Ripple,2020-02,11886058210.413794
Bitcoin-SV,2020-02,5370126305.620689
LiteCoin,2020-02,4642922119.137931
Bitcoin,2020-03,125738424447.12903
Ethereum,2020-03,17713576793.80645
Ripple,2020-03,7960528661.096774
Bitcoin-SV,2020-03,3199950657.419355
LiteCoin,2020-03,2845139805.516129
Bitcoin,2020-04,131419566666.66667
Ethereum,2020-04,18814900141.633335
Ripple,2020-04,8272371281.566667
Bitcoin-SV,2020-04,3504942981.4333334
LiteCoin,2020-04,2759916112.766667
Bitcoin,2020-05,169647322580.64517
Ethereum,2020-05,22959473246.64516
Ripple,2020-05,8870333928.580645
Bitcoin-SV,2020-05,3610540203.322581
LiteCoin,2020-05,2897235017.935484
Bitcoin,2020-06,174173233333.33334
Ethereum,2020-06,26246181902.966667
Ripple,2020-06,8335747413.833333
Bitcoin-SV,2020-06,3318068604.633333
LiteCoin,2020-06,2885434441.3333335
Bitcoin,2020-07,175863935483.87097
Ethereum,2020-07,28682506204.322582
Ripple,2020-07,8710631517.096775
Bitcoin-SV,2020-07,3343209529.645161
LiteCoin,2020-07,2947352721.387097
Bitcoin,2020-08,214727129032.25806
Ethereum,2020-08,44799686485.19355
Ripple,2020-08,12540083470.838709
Bitcoin-SV,2020-08,3917107298.580645
LiteCoin,2020-08,3863654729.774194
Bitcoin,2020-09,196955133333.33334
Ethereum,2020-09,41529040772.63333
Ripple,2020-09,10637020240.566668
Binance-Coin,2020-09,3651069883.133333
LiteCoin,2020-09,3172388539.3333335
Bitcoin,2020-10,219067612903.2258
Ethereum,2020-10,42473968784.96774
Ripple,2020-10,10727654346.806452
Binance-Coin,2020-10,4261610714.193548
LiteCoin,2020-10,3321081343.0
Bitcoin,2020-11,306264600000.0
Ethereum,2020-11,54625023021.36667
Ripple,2020-11,15622558992.033333
LiteCoin,2020-11,4531846770.233334
Binance-Coin,2020-11,4152302427.866667
Bitcoin,2020-12,405058580645.1613
Ethereum,2020-12,70577023253.48387
Ripple,2020-12,20753374987.80645
LiteCoin,2020-12,6529121131.419354
Binance-Coin,2020-12,4533510982.193548
Wrapped-Bitcoin,2021-01,557632837690659.75
Bitcoin,2021-01,642221258064.5161
Ethereum,2021-01,135912886938.32259
Ripple,2021-01,12273894285.903225
LiteCoin,2021-01,9624611751.709677
Bitcoin,2021-02,857787964285.7142
Ethereum,2021-02,194277392857.14285
Binance-Coin,2021-02,23827951634.57143
Ripple,2021-02,21309576096.964287
LiteCoin,2021-02,12305131104.607143
Bitcoin,2021-03,1019014322580.6451
Ethereum,2021-03,198386612903.2258
Binance-Coin,2021-03,40045167007.258064
Ripple,2021-03,21232937162.80645
LiteCoin,2021-03,12879326675.67742
Bitcoin,2021-04,1066556566666.6666
Ethereum,2021-04,263016500000.0
Binance-Coin,2021-04,74578658279.53334
Ripple,2021-04,53629571405.76667
Dogecoin,2021-04,24460982111.633335
Bitcoin,2021-05,877895258064.5161
Ethereum,2021-05,364993645161.29034
Binance-Coin,2021-05,76847403465.09677
Dogecoin,2021-05,56934031120.32258
Ripple,2021-05,53482766563.548386
Bitcoin,2021-06,669904233333.3334
Ethereum,2021-06,271950933333.33334
Binance-Coin,2021-06,52182189934.933334
Dogecoin,2021-06,39543841018.9
Ripple,2021-06,37325211480.833336
Bitcoin,2021-07,641994967741.9354
Ethereum,2021-07,248176903225.80646
Binance-Coin,2021-07,48771175817.83871
Ripple,2021-07,29229804767.064518
Dogecoin,2021-07,27127878324.419353
Bitcoin,2021-08,855576225806.4517
Ethereum,2021-08,361327612903.2258
Binance-Coin,2021-08,69081324247.45161
Ripple,2021-08,47388627529.3871
Dogecoin,2021-08,35600975932.741936
Bitcoin,2021-09,866361633333.3334
Ethereum,2021-09,394146266666.6667
Binance-Coin,2021-09,69079569081.5
Ripple,2021-09,49731093719.03333
Solana,2021-09,44471171477.0
Bitcoin,2021-10,1086506451612.9032
Ethereum,2021-10,448712645161.29034
Binance-Coin,2021-10,77122127947.90323
Solana,2021-10,51580169183.22581
Ripple,2021-10,50369264693.645164
Bitcoin,2021-11,1144461666666.6667
Ethereum,2021-11,524648333333.3333
Binance-Coin,2021-11,100246731776.16667
Solana,2021-11,67426361144.333336
Ripple,2021-11,51399398599.86667
Bitcoin,2021-12,934647419354.8387
Ethereum,2021-12,482543290322.5806
Binance-Coin,2021-12,92315232104.25807
Solana,2021-12,57215284269.67742
USD-Coin,2021-12,41359411664.6129
Bitcoin,2022-01,778847516129.0322
Ethereum,2022-01,365670483870.9677
Binance-Coin,2022-01,74010539086.41936
USD-Coin,2022-01,45218970918.80645
Solana,2022-01,40956346558.29032
Bitcoin,2022-02,769360642857.1428
Ethereum,2022-02,342659107142.8571
Binance-Coin,2022-02,65883879745.21429
USD-Coin,2022-02,52103587613.46429
Ripple,2022-02,34647879582.46429
Bitcoin,2022-03,795882483870.9678
Ethereum,2022-03,345527709677.4194
Binance-Coin,2022-03,66248786574.741936
USD-Coin,2022-03,52580406269.16129
Ripple,2022-03,36582918493.51613
Bitcoin,2022-04,791317566666.6666
Ethereum,2022-04,374876133333.3333
Binance-Coin,2022-04,69633763885.43333
USD-Coin,2022-04,50442804906.433334
Solana,2022-04,35977086512.1
Bitcoin,2022-05,606811903225.8064
Ethereum,2022-05,267391516129.03226
Binance-Coin,2022-05,54474531298.129036
USD-Coin,2022-05,51179107461.77419
Ripple,2022-05,21683336297.64516
Bitcoin,2022-06,466916933333.3333
Ethereum,2022-06,169453133333.33334
USD-Coin,2022-06,54786670979.566666
Binance-Coin,2022-06,41348353674.333336
Ripple,2022-06,16426203222.333334
Bitcoin,2022-07,409436483870.9677
Ethereum,2022-07,164457451612.90323
USD-Coin,2022-07,55133318327.58064
Binance-Coin,2022-07,40190086382.741936
Ripple,2022-07,15816021231.032259
Bitcoin,2022-08,429700419354.8387
Ethereum,2022-08,209486419354.8387
USD-Coin,2022-08,53289770526.22581
Binance-Coin,2022-08,48806969423.354836
Ripple,2022-08,16604710943.451612
Bitcoin,2022-09,379474700000.0
Ethereum,2022-09,184212900000.0
USD-Coin,2022-09,50690244839.8
Binance-Coin,2022-09,44795889317.6
Ripple,2022-09,17705541604.966667
Bitcoin,2022-10,376085290322.5806
Ethereum,2022-10,167446129032.25806
USD-Coin,2022-10,48563605049.3871
Binance-Coin,2022-10,45451644677.32258
Ripple,2022-10,21937002557.0
Bitcoin,2022-11,339385166666.6667
Ethereum,2022-11,160152033333.33334
Binance-Coin,2022-11,48125079830.566666
USD-Coin,2022-11,46375475813.3
Ripple,2022-11,18594620592.633335
Bitcoin,2022-12,325741419354.8387
Ethereum,2022-12,151571838709.67743
USD-Coin,2022-12,43890127379.03226
Binance-Coin,2022-12,42441429780.548386
Ripple,2022-12,18204175212.741936
Bitcoin,2023-01,386650451612.9032
Ethereum,2023-01,179043967741.9355
Binance-Coin,2023-01,46149528594.09677
USD-Coin,2023-01,43883817169.32258
Ripple,2023-01,19105394840.16129
Bitcoin,2023-02,447686250000.0
Ethereum,2023-02,199348107142.85715
Binance-Coin,2023-02,50257318830.53571
USD-Coin,2023-02,43888935913.07143
Ripple,2023-02,19653400197.25
Bitcoin,2023-03,482619870967.74194
Ethereum,2023-03,204604741935.48386
Binance-Coin,2023-03,48939149185.70968
USD-Coin,2023-03,39997019951.6129
Ripple,2023-03,20570757946.19355
Bitcoin,2023-04,557737833333.3334
Ethereum,2023-04,230921266666.66666
Binance-Coin,2023-04,50672192350.7
USD-Coin,2023-04,32037041116.866665
Ripple,2023-04,24931723811.366665
Bitcoin,2023-05,532308000000.0
Ethereum,2023-05,222085838709.67743
Binance-Coin,2023-05,48925850373.935486
USD-Coin,2023-05,29897145327.548386
Ripple,2023-05,22899951700.677418
Bitcoin,2023-06,537088700000.0
Ethereum,2023-06,218918600000.0
Binance-Coin,2023-06,39742686187.23333
USD-Coin,2023-06,28559599396.3
Ripple,2023-06,25824737733.133335
Bitcoin,2023-07,584424032258.0646
Ethereum,2023-07,228095838709.67743
Binance-Coin,2023-07,37655644525.41936
Ripple,2023-07,33102821357.80645
USD-Coin,2023-07,27406977003.80645
Bitcoin,2023-08,542841096774.19354
Ethereum,2023-08,212564096774.19354
Binance-Coin,2023-08,35417983923.58064
Ripple,2023-08,30907627427.35484
USD-Coin,2023-08,26315881277.677418
Bitcoin,2023-09,512472933333.3333
Ethereum,2023-09,195529766666.66666
Binance-Coin,2023-09,32862833400.033333
Ripple,2023-09,26703884805.466667
USD-Coin,2023-09,25940211383.066666
Bitcoin,2023-10,578023000000.0
Ethereum,2023-10,199812096774.19354
Binance-Coin,2023-10,32911967331.225807
Ripple,2023-10,27818693252.677418
USD-Coin,2023-10,25258437352.19355
Bitcoin,2023-11,713043600000.0
Ethereum,2023-11,239043800000.0
Binance-Coin,2023-11,36479854271.566666
Ripple,2023-11,33957623477.8
USD-Coin,2023-11,24397419942.533333
Bitcoin,2023-12,830299838709.6774
Ethereum,2023-12,271852322580.64517
Binance-Coin,2023-12,39184064444.16129
Solana,2023-12,34921457295.67742
Ripple,2023-12,33825102806.774193
Bitcoin,2024-01,841312903225.8064
Ethereum,2024-01,285773096774.19354
Binance-Coin,2024-01,46409252228.064514
Solana,2024-01,41602017807.548386
Ripple,2024-01,30398953857.51613
Bitcoin,2024-02,971544758620.6897
Ethereum,2024-02,328485103448.2759
Binance-Coin,2024-02,51559431988.0
Solana,2024-02,46588258243.27586
Ripple,2024-02,29320229531.0
Bitcoin,2024-03,1327062903225.8064
Ethereum,2024-03,436295129032.25806
Binance-Coin,2024-03,79091884340.09677
Solana,2024-03,73592545328.3871
Ripple,2024-03,34497768186.41936
Bitcoin,2024-04,1298136000000.0
Ethereum,2024-04,393179100000.0
Binance-Coin,2024-04,86584999363.13333
Solana,2024-04,70341333719.63333
USD-Coin,2024-04,32977390766.233334
Bitcoin,2024-05,1282433548387.0967
Ethereum,2024-05,395598548387.0968
Binance-Coin,2024-05,86975302961.7742
Solana,2024-05,70895298873.3871
USD-Coin,2024-05,33041683953.870968
Bitcoin,2024-06,1301320000000.0
Ethereum,2024-06,430420533333.3333
Binance-Coin,2024-06,90527527385.7
Solana,2024-06,67112306137.933334
USD-Coin,2024-06,32492541825.4
Bitcoin,2024-07,1236163548387.0967
Ethereum,2024-07,394596387096.7742
Binance-Coin,2024-07,82421851220.25807
Solana,2024-07,71220284122.93549
USD-Coin,2024-07,33718637783.0
Bitcoin,2024-08,1185219677419.3547
Ethereum,2024-08,319271774193.5484
Binance-Coin,2024-08,78807792326.32259
Solana,2024-08,66436412008.09677
USD-Coin,2024-08,32996953994.096775
Bitcoin,2024-09,1188756666666.6667
Ethereum,2024-09,296537400000.0
Binance-Coin,2024-09,81471153701.06667
Solana,2024-09,65275080477.933334
USD-Coin,2024-09,35305658112.166664
Bitcoin,2024-10,1295925806451.6128
Ethereum,2024-10,304180774193.5484
Binance-Coin,2024-10,85715915548.2258
Solana,2024-10,73333133174.54839
USD-Coin,2024-10,35186706256.741936
