name,year,open,high,low,close,volume,market_cap
Fantom,2020,0.014625780568306011,0.055275081,0.001762157,0.014640644669398907,3421532488.8543,30616625.16055191
Fantom,2021,0.8561622716739726,3.470136667,0.0160536,0.8623724688493151,260278428570.85,2195437733.65663
Fantom,2022,0.7754900686794521,3.35985064,0.164760715,0.7700512466465753,334668026979.8,1969269778.6558905
Fantom,2023,0.3315378796054795,0.654476688,0.171707253,0.33232227343287674,143431529769.73,908608335.4361644
Fantom,2024,0.6407128047464388,1.465647813,0.26517428,0.6436149401538461,196744173758.0,1798490287.5840456
Kaspa,2022,0.002787924247747748,0.009785434,0.00017105,0.0028181654954954954,62236199.676081,27337312.141274773
Kaspa,2023,0.04061965805479452,0.153193979,0.004336291,0.04088740376712329,10209196252.8421,834717909.0150137
Kaspa,2024,0.1467559205868946,0.208891875,0.092383943,0.14683575796581197,84598691613.84,3493446119.3931623
LiteCoin,2013,6.591747975708502,53.147,1.61862,6.675841174089069,73660468.601,159228868.465749
LiteCoin,2014,9.904707452054796,32.0596,2.66743,9.844975315068494,2130434586.2975,276185521.94547945
LiteCoin,2015,2.692442328767123,8.72748,1.11374,2.694344493150685,1226495676.1837,109930755.19071233
LiteCoin,2016,3.786386994535519,5.94637,2.91946,3.7887227868852458,959933958.2499,176576579.13797814
LiteCoin,2017,49.332532678986304,373.0168511,3.61359,49.924688996164384,107504869540.328,2635245963.992603
LiteCoin,2018,106.34134394112328,303.3488503,22.75795419,105.7309932699178,136312851447.0,5963175545.065753
LiteCoin,2019,69.62966630657534,145.3550153,30.11198761,69.67329062454795,898433240524.2,4333172407.531507
LiteCoin,2020,55.98031368409836,138.2451544,24.96527685,56.2213546574317,1239032807752.2,3644414451.6092896
LiteCoin,2021,185.86984977150684,410.7611602,104.47,185.98347146520547,2443250506681.7,12493932652.287672
LiteCoin,2022,80.22484108728767,153.2172,40.4688624,80.03410635643836,400015616115.7,5639135202.257534
LiteCoin,2023,81.21985311142465,114.4873,56.8318,81.20534588257534,463943275189.5,5927999495.761643
LiteCoin,2024,77.63265612535614,146.2337,54.599,77.77909230769231,394729031523.5,5796515612.245014
Maker,2017,509.35584649285715,1761.173764,186.2493994,520.7266189885714,6454773.094021086,0.0
Maker,2018,708.6810835065753,1839.972518,291.6341827,706.638638070137,124427871.11875,429722151.6446575
Maker,2019,567.8095329378083,811.7399433,359.8428797,567.9320577830136,2031222192.81211,553895298.7449315
Maker,2020,491.5769280448087,845.3239506,171.2697806,492.2741063836066,8218016225.397,493278710.14617485
Maker,2021,2754.541957713425,6244.441046,570.4406309,2759.6975350158905,95034135576.36,2737044506.099726
Maker,2022,1259.6058568490412,2581.2407,507.9822,1255.0819701142466,35350664884.63,1232230677.8252056
Maker,2023,986.009970360548,1755.9987,503.2792,989.2812131032878,64181698125.49,958179058.7745206
Maker,2024,2206.229254,4061.1802,1037.6164,2207.864211714286,352885898109.53,2026756341.3994286
Mantra-Dao,2020,0.16533517942222223,0.646320359,0.054083203,0.16306048377037038,2036469702.8079998,0.0
Mantra-Dao,2021,0.22636885051780822,0.867881059,0.051701082,0.22650283404383562,7113716944.258,70149230.52693151
Mantra-Dao,2022,0.0625145398109589,0.154998218,0.027745781,0.062230101076712334,2501571123.7591,29082685.67865753
Mantra-Dao,2023,0.028182906627397263,0.062621196,0.017368363,0.028248459594520547,1245121319.0748,14121146.135452054
Mantra-Dao,2024,1.0511394637150997,4.576882095,0.054775093,1.0618756383504275,56547361626.203,744544013.7396866
Monero,2014,1.5633423794642858,37.7809,0.299859,1.5564587678571429,27565823.55274,4046967.8137946427
Monero,2015,0.49049933972602744,1.04625,0.212967,0.4907741506849315,13088849.240365,4020548.743320548
Monero,2016,3.652016333333333,15.045,0.426614,3.688245557377049,982419624.84721,47436121.4868306
Monero,2017,75.0906675039726,561.0269922,9.92019,75.86044766980822,16154396775.305,1138502872.9654796
Monero,2018,169.7205737232055,593.4189373,37.63938719,168.86181665054795,49509352577.32,2690664263.4764385
Monero,2019,66.49216888189041,117.2780507,41.19967981,66.52141709263013,71118463575.96,1133377196.5679452
Monero,2020,84.52045464920765,170.472203,26.23373788,84.83795877079235,71015833966.53,1490902225.4557376
Monero,2021,247.63203555589044,514.4269739,123.1967351,247.86525586438358,153749165923.2,4443977758.586302
Monero,2022,165.19955722821916,288.1946027,98.34494912,164.99705872876712,71715379693.59,2995504906.8547945
Monero,2023,157.6620850339726,187.0446,128.7066,157.7192041468493,43259903169.09,2886848412.6657534
Monero,2024,151.28902336182338,231.6316,101.4138,151.38504757834758,51127596771.62,2790535004.8860397
NEO,2016,0.1737694679245283,0.427314,0.0722868,0.1712275113207547,13698180.2902922,4995873.0240094345
NEO,2017,15.214526570876712,82.14667329,0.0864748,15.415225389589041,17510595963.48836,869816398.4016055
NEO,2018,50.76868818673699,195.9504693,5.504551739,50.53254172356164,40150695517.09,3284698424.4942465
NEO,2019,10.240257727731507,20.62899562,6.738944534,10.244372618471234,125627291046.43,699128241.04
NEO,2020,13.120557912251366,25.84947059,4.177594211,13.137227772573771,172041010987.0,926265102.0866121
NEO,2021,46.325414818657535,138.8661118,14.0847252,46.346323337178085,292372708129.4,3264031789.0246577
NEO,2022,13.591020092879452,29.4786,5.952277241,13.540335521487671,47036118489.49,958295213.3884931
NEO,2023,9.655579505284932,15.5203,6.143310922,9.674773584156165,36682541511.56,681330843.6235616
NEO,2024,12.997674302301993,25.3964,7.675470629,13.003342360005698,45118748784.03,914952861.5461539
Optimism,2022,0.9856647994813084,2.190408449,0.401120567,0.9823952092897196,70749773114.95,2410147.001869159
